,FilingDate,TradeDate,Ticker,Company,Name,Role,TradeType,Share Price,NoShares,DollarAmount,PercentChange,DollarIncrease,
,16/11/2020 18:13,16/11/2020,VRS,Verso Corp,Nebel Randy J.,"Interim Pres, CEO",P - Purchase,$9.68,15000,24764,154%,"+$145,200",
,17/11/2020 17:23,16/11/2020,REYN,Reynolds Consumer Products Inc.,Mitchell V Lance,"Pres, CEO",P - Purchase,$29.86,16500,16500,New,"+$492,639",
D,17/11/2020 19:36,16/11/2020,BH,Biglari Holdings Inc.,"Biglari, Sardar","COB, CEO, 10%",P - Purchase,$102.84,37059,1344062,3%,"+$3,811,068",
,12/11/2020 16:00,11/11/2020,ARLO,"Arlo Technologies, Inc.",McRae Matthew Blake,CEO,P - Purchase,$4.71,21000,895678,2%,"+$98,910",
,10/11/2020 17:15,10/11/2020,CRC,California Resources Corp,Stevens Todd A.,"Pres, CEO",P - Purchase,$12.36,2500,2500,New,"+$30,888",
,10/11/2020 18:51,10/11/2020,PRAX,"Praxis Precision Medicines, Inc.",Souza Marcio,CEO,P - Purchase,$26.08,3846,24450,19%,"+$100,304",
M,09/11/2020 16:30,09/11/2020,OSTK,"Overstock.Com, Inc",Johnson Jonathan E III,CEO,P - Purchase,$55.75,1000,86039,1%,"+$55,750",
,09/11/2020 16:56,09/11/2020,CNX,Cnx Resources Corp,Deiuliis N J,"Pres, CEO",P - Purchase,$8.47,11900,1581992,1%,"+$100,799",
,10/11/2020 06:53,09/11/2020,OPK,"Opko Health, Inc.",Frost Phillip Md Et Al,"CEO, COB, 10%",P - Purchase,$3.18,250000,224267822,0%,"+$794,669",
,10/11/2020 09:45,09/11/2020,BSGM,"Biosig Technologies, Inc.",Londoner Kenneth L,"CEO, 10%",P - Purchase,$3.42,16600,2493182,1%,"+$56,816",
,10/11/2020 17:18,09/11/2020,FNWB,First Northwest Bancorp,Deines Matthew,"Pres, CEO",P - Purchase,$13.80,2000,62000,3%,"+$27,600",
,06/11/2020 18:36,06/11/2020,ATNX,"Athenex, Inc.",Lau Johnson Yiu Nam,"CEO, COB",P - Purchase,$11.70,5000,4101945,0%,"+$58,500",
,06/11/2020 14:18,05/11/2020,NTST,Netstreit Corp.,Manheimer Mark,"Pres, CEO",P - Purchase,$17.88,3767,3767,New,"+$67,354",
,06/11/2020 15:41,05/11/2020,GHL,Greenhill & Co Inc,Bok Scott L,"COB, CEO, 10%",P - Purchase,$10.66,50000,2221502,2%,"+$533,000",
,06/11/2020 16:04,05/11/2020,HTLF,Heartland Financial USA Inc,Lee Bruce K,"HTLF Pres, CEO",P - Purchase,$33.29,3000,62454,5%,"+$99,875",
D,06/11/2020 16:39,05/11/2020,AAT,"American Assets Trust, Inc.",Rady Ernest S,"COB, CEO, Pres, 10%",P - Purchase,$21.49,130000,10105528,1%,"+$2,793,700",
,04/11/2020 13:35,04/11/2020,HMST,"Homestreet, Inc.",Michel John,"EVP, CFO",P - Purchase,$31.04,1000,21000,5%,"+$31,044",
,03/11/2020 15:13,03/11/2020,RILY,"B. Riley Financial, Inc.",Riley Bryant R,"COB, Co-CEO, 10%",P - Purchase,$26.66,60000,5030082,1%,"+$1,599,510",
D,04/11/2020 15:24,03/11/2020,CSTR,"Capstar Financial Holdings, Inc.",Duncan Denis J.,CFO,P - Purchase,$10.99,13650,13732,>999%,"+$150,014",
M,02/11/2020 15:36,02/11/2020,TMQ,Trilogy Metals Inc.,Giardini Tony,"Pres, CEO",P - Purchase,$1.45,200000,533048,60%,"+$290,000",
,02/11/2020 16:21,02/11/2020,KN,Knowles Corp,Niew Jeffrey,"Pres, CEO",P - Purchase,$15.00,3000,323914,1%,"+$45,000",
,03/11/2020 09:38,02/11/2020,RNST,Renasant Corp,Mabry James C. IV,"EVP, CFO",P - Purchase,$28.98,28000,60286,87%,"+$811,440",
,03/11/2020 16:02,02/11/2020,SPOK,"Spok Holdings, Inc",Kelly Vincent D,"Pres, CEO",P - Purchase,$9.20,5000,362108,1%,"+$46,000",
,29/10/2020 18:40,29/10/2020,UVE,"Universal Insurance Holdings, Inc.",Donaghy Stephen,CEO,P - Purchase,$11.91,10000,630347,2%,"+$119,099",
,29/10/2020 21:20,29/10/2020,BANC,"Banc of California, Inc.",Wolff Jared M,"Pres, CEO",P - Purchase,$11.50,10000,207975,5%,"+$115,000",
,29/10/2020 16:14,28/10/2020,INTC,Intel Corp,Swan Robert Holmes,CEO,P - Purchase,$44.96,8021,313208,3%,"+$360,624",
,29/10/2020 17:53,28/10/2020,TSC,"Tristate Capital Holdings, Inc.",Riddle Timothy J,"CEO, Chartwell Inv. Partners",P - Purchase,$12.52,3000,273916,1%,"+$37,560",
,27/10/2020 12:31,27/10/2020,TSC,"Tristate Capital Holdings, Inc.",Fetterolf Brian S,"CEO, TSC Bank, Dir TSC",P - Purchase,$13.59,5600,326881,2%,"+$76,104",
,28/10/2020 16:24,27/10/2020,ORRF,Orrstown Financial Services Inc,Brugger Thomas R,"EVP, CFO",P - Purchase,$13.60,5000,13405,59%,"+$68,000",
,26/10/2020 16:12,26/10/2020,TRNF,"Taronis Fuels, Inc.",Mahoney Scott,CEO,P - Purchase,$0.12,2633866,16425285,19%,"+$316,064",
,26/10/2020 16:24,26/10/2020,TRNF,"Taronis Fuels, Inc.",Wilson Tyler B.,"CFO, Treasurer, Secretary",P - Purchase,$0.12,1041667,4930107,27%,"+$125,000",
,27/10/2020 13:58,26/10/2020,PFC,Premier Financial Corp,Nungester Paul D Jr,"EVP, CFO",P - Purchase,$18.77,12000,19228,166%,"+$225,240",
,22/10/2020 17:10,22/10/2020,HLXA,Helix Acquisition Corp,Chen Bihua,"CEO, COB, 10%",P - Purchase,$10.00,430000,430000,New,"+$4,300,000",
,23/10/2020 20:20,22/10/2020,GPV,Greenpower Motor Co Inc.,Atkinson Fraser,"CEO, COB, 10%",P - Purchase,$12.55,5000,2870138,0%,"+$62,750",
,21/10/2020 15:09,20/10/2020,KTEL,"Konatel, Inc.",McEwen David S,"COB, Pres, CEO, 10%",P - Purchase,$0.10,2000000,29000000,7%,"+$200,000",
,19/10/2020 16:15,19/10/2020,ARRY,"Array Technologies, Inc.",Fusaro James Macmillan,CEO,P - Purchase,$22.00,182772,182772,New,"+$4,020,984",
,19/10/2020 16:15,19/10/2020,ARRY,"Array Technologies, Inc.",Patel Nipul M.,CFO,P - Purchase,$22.00,37068,37068,New,"+$815,496",
D,20/10/2020 16:33,19/10/2020,NJMC,New Jersey Mining Co,Swallow John,"Pres, CEO",P - Purchase,$0.20,250000,16737373,2%,"+$50,000",
D,14/10/2020 14:40,14/10/2020,LOOP,"Loop Industries, Inc.",Gentiletti Nelson,"COO, CFO",P - Purchase,$7.31,5000,12083,71%,"+$36,525",
D,14/10/2020 17:56,14/10/2020,LOOP,"Loop Industries, Inc.",Solomita Daniel,"Pres, CEO, 10%",P - Purchase,$7.31,10000,210000,5%,"+$73,080",
D,14/10/2020 19:27,14/10/2020,GOSS,"Gossamer Bio, Inc.",Giraudo Bryan,CFO,P - Purchase,$10.01,3000,77500,4%,"+$30,036",
D,06/10/2020 21:30,06/10/2020,CCCC,"C4 Therapeutics, Inc.",McKee William,CFO,P - Purchase,$19.00,5263,5263,New,"+$99,997",
,06/10/2020 10:06,05/10/2020,ALTM,Altus Midstream Co,Bretches D. Clay,CEO,P - Purchase,$10.85,2620,20785,14%,"+$28,427",
,02/10/2020 16:28,02/10/2020,FGNA,Fg New America Acquisition Corp.,Swets Larry G Jr,"CEO, 10%",P - Purchase,$10.00,462500,462500,New,"+$4,625,000",
,01/10/2020 16:07,01/10/2020,PRGS,Progress Software Corp /ma,Folger Anthony,CFO,P - Purchase,$37.75,2622,2622,New,"+$98,981",
,01/10/2020 16:06,01/10/2020,PRGS,Progress Software Corp /ma,Gupta Yogesh K,CEO,P - Purchase,$37.50,2700,96142,3%,"+$101,250",
,30/09/2020 10:55,30/09/2020,CPRX,"Catalyst Pharmaceuticals, Inc.",McEnany Patrick J,"Pres, CEO",P - Purchase,$2.97,15000,4787693,0%,"+$44,550",
,01/10/2020 12:00,30/09/2020,PBF,Pbf Energy Inc.,Young C Erik,"CFO, SVP",P - Purchase,$5.87,21893,121866,22%,"+$128,472",
,29/09/2020 18:28,29/09/2020,GOVX,"Geovax Labs, Inc.",Dodd David A,"Pres, CEO",P - Purchase,$5.00,81870,81870,New,"+$409,350",
,29/09/2020 18:29,29/09/2020,GOVX,"Geovax Labs, Inc.",Reynolds Mark,CFO,P - Purchase,$5.00,60184,60184,New,"+$300,920",
,29/09/2020 19:23,29/09/2020,AMST,Amesite Inc.,Sastry Ann Marie,CEO,P - Purchase,$5.00,10000,6226667,0%,"+$50,000",
,29/09/2020 21:42,29/09/2020,GLSI,"Greenwich Lifesciences, Inc.",Patel Snehal,"CEO, CFO",P - Purchase,$5.75,114347,863683,15%,"+$657,495",
D,30/09/2020 17:21,29/09/2020,LMB,"Limbach Holdings, Inc.",Bacon Charles A. III,"Pres, CEO",P - Purchase,$9.40,5263,402927,1%,"+$49,447",
D,28/09/2020 13:13,28/09/2020,PBF,Pbf Energy Inc.,Nimbley Thomas J.,CEO,P - Purchase,$5.92,50000,427857,13%,"+$296,195",
,28/09/2020 16:10,28/09/2020,AGRX,Agile Therapeutics Inc,Reilly Dennis,CFO,P - Purchase,$2.85,9000,131306,7%,"+$25,650",
,24/09/2020 15:26,24/09/2020,IRET,Investors Real Estate Trust,Decker Mark Okey Jr,"Pres, CEO, CIO",P - Purchase,$62.73,500,28741,2%,"+$31,365",
,24/09/2020 16:49,24/09/2020,SAVA,Cassava Sciences Inc,Barbier Remi,"Pres, CEO",P - Purchase,$9.59,10000,1078855,1%,"+$95,900",
,24/09/2020 17:08,24/09/2020,CMT,Core Molding Technologies Inc,Duvall David L.,CEO,P - Purchase,$8.80,4000,261509,2%,"+$35,200",
,23/09/2020 13:22,23/09/2020,GPV,Greenpower Motor Co Inc.,Atkinson Fraser,"CEO, COB, 10%",P - Purchase,$14.80,10000,2827280,0%,"+$147,984",
,23/09/2020 15:11,23/09/2020,RAPT,"Rapt Therapeutics, Inc.",Wong Brian Russell,"Pres, CEO",P - Purchase,$30.06,2000,504000,0%,"+$60,120",
,23/09/2020 16:02,23/09/2020,CIO,"City Office Reit, Inc.",Maretic Anthony,CFO,P - Purchase,$7.16,10000,113563,10%,"+$71,599",
,23/09/2020 16:29,23/09/2020,VER,"Vereit, Inc.",Rufrano Glenn J,CEO,P - Purchase,$6.33,40000,3279252,1%,"+$253,152",
D,23/09/2020 17:41,23/09/2020,AOUT,"American Outdoor Brands, Inc.",Murphy Brian Daniel,"Pres, CEO",P - Purchase,$13.28,10000,71481,16%,"+$132,770",
,23/09/2020 17:42,23/09/2020,AOUT,"American Outdoor Brands, Inc.",Fulmer Hugh Andrew,"EVP, CFO, Treasurer",P - Purchase,$13.26,10000,36707,37%,"+$132,570",
,24/09/2020 13:45,23/09/2020,PB,Prosperity Bancshares Inc,Zalman David,"Senior COB, CEO",P - Purchase,$49.57,8700,804846,1%,"+$431,233",
,23/09/2020 09:20,22/09/2020,TARA,"Protara Therapeutics, Inc.",Davis Blaine,CFO,P - Purchase,$16.91,1481,1481,New,"+$25,038",
,23/09/2020 16:30,22/09/2020,BFS,"Saul Centers, Inc.",Saul B Francis II,"CEO, Pres, 10%",P - Purchase,$24.94,10000,18121171,0%,"+$249,400",
,23/09/2020 16:30,22/09/2020,AI,Arlington Asset Investment Corp.,Konzmann Richard Ernst,"EVP, CFO, Treasurer",P - Purchase,$2.67,20000,84995,31%,"+$53,480",
,23/09/2020 16:54,22/09/2020,GPRE,Green Plains Inc.,Becker Todd A,"Pres, CEO",P - Purchase,$14.72,5000,544595,1%,"+$73,605",
,23/09/2020 17:30,22/09/2020,LILA,Liberty Latin America Ltd.,Noyes Christopher J,"SVP, CFO",P - Purchase,$8.10,10000,109852,10%,"+$80,970",
D,23/09/2020 18:05,22/09/2020,VGR,Vector Group Ltd,Kirkland J Bryant III,"SVP, Treasurer, CFO",P - Purchase,$9.40,10000,228804,5%,"+$93,950",
,23/09/2020 18:16,22/09/2020,MGY,Magnolia Oil & Gas Corp,Chazen Stephen I,"COB, Pres, CEO",P - Purchase,$5.59,35000,6945318,1%,"+$195,748",
,23/09/2020 19:59,22/09/2020,OFG,Ofg Bancorp,Arizmendi Maritza,"EVP, CFO",P - Purchase,$12.32,3000,14419,26%,"+$36,968",
,21/09/2020 16:39,21/09/2020,CIO,"City Office Reit, Inc.",Farrar James Thomas,CEO,P - Purchase,$7.48,11500,394765,3%,"+$85,986",
M,21/09/2020 17:15,21/09/2020,BNL,"Broadstone Net Lease, Inc.",Czarnecki Christopher J,"CEO, Pres",P - Purchase,$17.00,6000,290184,2%,"+$102,000",
,21/09/2020 18:02,21/09/2020,PTVE,Pactiv Evergreen Inc.,McGrath John T.,CEO,P - Purchase,$11.65,8584,8584,New,"+$99,965",
,21/09/2020 18:04,21/09/2020,PTVE,Pactiv Evergreen Inc.,Ragen Michael,"COO, CFO",P - Purchase,$11.32,8500,8500,New,"+$96,225",
,22/09/2020 21:47,21/09/2020,OFG,Ofg Bancorp,Fernandez Jose Rafael,"Pres, CEO",P - Purchase,$12.60,8000,45152,22%,"+$100,800",
,18/09/2020 17:00,18/09/2020,BRG,"Bluerock Residential Growth Reit, Inc.",Vohs Christopher J.,CFO,P - Purchase,$22.50,2500,2500,New,"+$56,250",
D,17/09/2020 17:25,17/09/2020,SAVA,Cassava Sciences Inc,Schoen Eric,CFO,P - Purchase,$7.03,12000,52600,30%,"+$84,380",
D,18/09/2020 09:26,17/09/2020,CLDT,Chatham Lodging Trust,Fisher Jeffrey H,"COB, Pres, CEO",P - Purchase,$7.95,25000,891645,3%,"+$198,750",
